METAL FORM CODE                            METAL FORM LITERAL
_________________________________________________________________
ALUMINUM-1                                            #1
ALUMINUM-1100                                         1100
ALUMINUM-1100_BUS_BAR                                 1100 BUS BAR
ALUMINUM-1100_FINSTOCK                                1100 FINSTOCK
ALUMINUM-2                                            #2
ALUMINUM-2024                                         2024
ALUMINUM-2024_CLIPS                                   2024 CLIPS
ALUMINUM-3                                            #3
ALUMINUM-3000                                         3000
ALUMINUM-3003                                         3003
ALUMINUM-5000                                         5000
ALUMINUM-5052                                         5052
ALUMINUM-5052_CLIPS                                   5052 CLIPS
ALUMINUM-5086                                         5086
ALUMINUM-5454                                         5454
ALUMINUM-6000                                         6000
ALUMINUM-6061                                         6061
ALUMINUM-6061_BARE                                    6061 BARE
ALUMINUM-6061_CLEAN                                   6061 CLEAN
ALUMINUM-6061_DIRTY                                   6061 DIRTY
ALUMINUM-6061_EXTRUSION                               6061 EXTRUSION
ALUMINUM-6061_FRAME                                   6061 FRAME
ALUMINUM-6061_PAINTED                                 6061 PAINTED
ALUMINUM-6061_PIPE                                    6061 PIPE
ALUMINUM-6061_PLATE                                   6061 PLATE
ALUMINUM-6061_TUBING                                  6061 TUBING
ALUMINUM-6062                                         6062
ALUMINUM-6063                                         6063
ALUMINUM-6063_BARE_EXTRUSION                          6063 BARE EXTRUSION
ALUMINUM-6063_DIRTY                                   6063 DIRTY
ALUMINUM-6063_EXTRUSION                               6063 EXTRUSION
ALUMINUM-6063_EXTRUSION_FRAMES                        6063 EXTRUSION FRAMES
ALUMINUM-6063_EXTRUSION_FRAMES_DIRTY                  6063 EXTRUSION FRAMES DIRTY
ALUMINUM-6063_PAINTED                                 6063 PAINTED
ALUMINUM-7000_EXTRUSION                               7000 EXTRUSION
ALUMINUM-7072_FINSTOCK                                7072 FINSTOCK
ALUMINUM-7075                                         7075
ALUMINUM-AC_COIL                                      AC COIL
ALUMINUM-AC_UNIT                                      AC UNIT
ALUMINUM-ACSR                                         ACSR
ALUMINUM-ACSR_INSULATED                               ACSR INSULATED
ALUMINUM-AEROSOL_CAN                                  AEROSOL CAN
ALUMINUM-ALTERNATOR                                   ALTERNATOR
ALUMINUM-AUTO_CAST                                    AUTO CAST
ALUMINUM-AUTO_TRANSMISSION                            AUTO TRANSMISSION
ALUMINUM-BAKING_PAN                                   BAKING PAN
ALUMINUM-BAR                                          BAR
ALUMINUM-BENCH                                        BENCH
ALUMINUM-BILLETS                                      BILLETS
ALUMINUM-BLEACHERS                                    BLEACHERS
ALUMINUM-BOAT                                         BOAT
ALUMINUM-BORINGS                                      BORINGS
ALUMINUM-BREAKAGE                                     BREAKAGE
ALUMINUM-BUMPER                                       BUMPER
ALUMINUM-CABLE                                        CABLE
ALUMINUM-CABLE_BOX                                    CABLE BOX
ALUMINUM-CARBURETOR                                   CARBURETOR
ALUMINUM-CAST                                         CAST
ALUMINUM-CAST_FIXTURE                                 CAST FIXTURE
ALUMINUM-CAST_MIXED                                   CAST MIXED
ALUMINUM-CAST_PARTS                                   CAST PARTS
ALUMINUM-CATV                                         CATV
ALUMINUM-CATV_BARE_CABLE                              CATV BARE CABLE
ALUMINUM-CATV_BARE_WIRE                               CATV BARE WIRE
ALUMINUM-CATV_BLACK_WIRE                              CATV BLACK WIRE
ALUMINUM-CATV_CABLE                                   CATV CABLE
ALUMINUM-CATV_FLAKES                                  CATV FLAKES
ALUMINUM-CATV_INSULATED                               CATV INSULATED
ALUMINUM-CATV_WIRE                                    CATV WIRE
ALUMINUM-CHAIN_LINK_FENCE                             CHAIN LINK FENCE
ALUMINUM-CHAIR                                        CHAIR
ALUMINUM-CLEAN                                        CLEAN
ALUMINUM-CLIP                                         CLIP
ALUMINUM-COIL                                         COIL
ALUMINUM-COOKWARE                                     COOKWARE
ALUMINUM-COOLER                                       COOLER
ALUMINUM-CORE                                         CORE
ALUMINUM-DIE_CAST                                     DIE CAST
ALUMINUM-DIE_CAST_BREAKAGE                            DIE CAST BREAKAGE
ALUMINUM-DIESEL_PISTONS                               DIESEL PISTONS
ALUMINUM-DIRTY                                        DIRTY
ALUMINUM-DOOR                                         DOOR
ALUMINUM-DRILL_BITS                                   DRILL BITS
ALUMINUM-DROSS                                        DROSS
ALUMINUM-EC_WIRE                                      EC WIRE
ALUMINUM-EC_WIRE_ENAMELED                             EC WIRE ENAMELED
ALUMINUM-EXTRUSION                                    EXTRUSION
ALUMINUM-FENCING                                      FENCING
ALUMINUM-FINSTOCK                                     FINSTOCK
ALUMINUM-FITTING                                      FITTING
ALUMINUM-FLAG_POLE                                    FLAG POLE
ALUMINUM-FOIL                                         FOIL
ALUMINUM-FRAME                                        FRAME
ALUMINUM-GATE                                         DRAIN GATES
ALUMINUM-GUAGE                                        GUAGE
ALUMINUM-GUTTER                                       GUTTER
ALUMINUM-HAND_RAILS                                   HAND RAILS
ALUMINUM-HEATER_CORE                                  HEATER CORE
ALUMINUM-HEAVY                                        HEAVY
ALUMINUM-HUBCAP                                       HUBCAP
ALUMINUM-INGOTS                                       INGOTS
ALUMINUM-INSULATED_WIRE                               INSULATED WIRE
ALUMINUM-IRRIGATION_PIPE                              IRRIGATION PIPE
ALUMINUM-LADDER                                       LADDER
ALUMINUM-LIGHT                                        LIGHT
ALUMINUM-LIGHT_FIXTURE                                LIGHT FIXTURE
ALUMINUM-LIGHT_POLE                                   LIGHT POLE
ALUMINUM-LITHOPLATE                                   LITHOPLATE
ALUMINUM-MINIBLINDS                                   MINI BLINDS
ALUMINUM-MIXED                                        MIXED
ALUMINUM-MIXED_CLIPS                                  MIXED CLIPS
ALUMINUM-MIXED_TO_SHREDDER                            MIXED TO SHREDDER
ALUMINUM-MOTOR                                        MOTOR
ALUMINUM-MOTOR_PART                                   MOTOR PART
ALUMINUM-NEOPRENE                                     NEOPRENE
ALUMINUM-NEOPRENE_ACSR                                NEOPRENE ACSR
