VEHICLE CODE      VEHICLE LITERAL
__________________________________________________

AUTO-AC-300        A C (GREAT BRITIAN) 3000 ME
AUTO-ACAD-BEA      ACADIAN (GM OF CANADA) BEAUMONT SERIES
AUTO-ACAD-CAN      ACADIAN (GM OF CANADA) CANSO SERIES
AUTO-ACAD-INV      ACADIAN (GM OF CANADA) INVADER SERIES
AUTO-ACUR-ATL      ACURA TL
AUTO-ACUR-CL       ACURA CL
AUTO-ACUR-CSX      ACURA CSX
AUTO-ACUR-EL       ACURA EL
AUTO-ACUR-ILX      ACURA NULL
AUTO-ACUR-INT      ACURA INTEGRA
AUTO-ACUR-LEG      ACURA LEGEND
AUTO-ACUR-MDX      ACURA MDX
AUTO-ACUR-NSX      ACURA NSX
AUTO-ACUR-RDX      ACURA RDX
AUTO-ACUR-RL       ACURA RL
AUTO-ACUR-RLX      ACURA NULL
AUTO-ACUR-RSX      ACURA RSX
AUTO-ACUR-SLX      ACURA SLX
AUTO-ACUR-TSX      ACURA TSX
AUTO-ACUR-VIG      ACURA VIGOR
AUTO-ACUR-ZDX      ACURA NULL
AUTO-ALFA-136      ALFA ROMEO NULL
AUTO-ALFA-164      ALFA ROMEO 164
AUTO-ALFA-26P      ALFA ROMEO 2600 SPRINT
AUTO-ALFA-26S      ALFA ROMEO 2600 SPIDER
AUTO-ALFA-4C       ALFA ROMEO NULL
AUTO-ALFA-AGT      ALFA ROMEO ALFETTA GT
AUTO-ALFA-ARN      ALFA ROMEO ARNA
AUTO-ALFA-BER      ALFA ROMEO BERLINA
AUTO-ALFA-DUE      ALFA ROMEO DUETTO
AUTO-ALFA-G25      ALFA ROMEO GTV6 2.5
AUTO-ALFA-GIP      ALFA ROMEO GIULIA SPRINT
AUTO-ALFA-GIS      ALFA ROMEO GIULIA SPIDER
AUTO-ALFA-GIT      ALFA ROMEO GIULIETTA
AUTO-ALFA-GIU      ALFA ROMEO GIULIA
AUTO-ALFA-GT6      ALFA ROMEO ALFA GT6
AUTO-ALFA-GTV      ALFA ROMEO GT VELOCE
AUTO-ALFA-MIL      ALFA ROMEO MILANO
AUTO-ALFA-MON      ALFA ROMEO MONTREAL
AUTO-ALFA-SPI      ALFA ROMEO SPIDER SERIES
AUTO-ALFA-ZAG      ALFA ROMEO ZAGATO
AUTO-AMER-ALI      AMERICAN MOTORS (SEE MAKE RAMB ALLIANCE
AUTO-AMER-AMB      AMERICAN MOTORS (SEE MAKE RAMB AMBASSADOR
AUTO-AMER-AMX      AMERICAN MOTORS (SEE MAKE RAMB AMX
AUTO-AMER-ARN      AMERICAN MOTORS (SEE MAKE RAMB AMERICAN
AUTO-AMER-CHK      AMERICAN MOTORS (SEE MAKE RAMB CHEROKEE
AUTO-AMER-CJ5      AMERICAN MOTORS (SEE MAKE RAMB CJ-5
AUTO-AMER-CJ6      AMERICAN MOTORS (SEE MAKE RAMB CJ-6
AUTO-AMER-CJ7      AMERICAN MOTORS (SEE MAKE RAMB CJ-7
AUTO-AMER-CJ8      AMERICAN MOTORS (SEE MAKE RAMB CJ-8
AUTO-AMER-COM      AMERICAN MOTORS (SEE MAKE RAMB COMANCHE
